Date,District,Address,Transaction Price,Sq Price,Area,Source,Link
2025-11-16,Yuen Long,"Flat F, Low, Block M9, Yoho Midtown","HKD$17,500 ",@$33,534ft²,MIDLAND,https://www.28hse.com/en/estate/detail/yoho-town-4250/transaction/rent/deal-1471475
2025-11-16,Tsim Sha Tsui,"Flat A, High, Tower 5, The Austin","HKD$75,500 ",@$56,"1,349ft²",CENTANET,https://www.28hse.com/en/estate/detail/the-austin-8199/transaction/rent/deal-1471401
2025-11-17,Kennedy Town,"Flat 1, 14/F, Block B",HKD$4.29 Millions,"@$11,501",,LAND,https://www.28hse.com/en/estate/detail/jade-court-570/transaction/deal-1471762
2025-11-17,Sheung Wan,"Flat B, 27/F, Caine Tower",HKD$6.8 Millions,"@$17,303",393ft²,LAND,https://www.28hse.com/en/estate/detail/caine-tower-703/transaction/deal-1471759
2025-11-17,Aberdeen,"Flat 4, 24/F, Block A",HKD$4 Millions,"@$9,547",419ft²,LAND,https://www.28hse.com/en/estate/detail/yue-fai-court-295/transaction/deal-1471758
2025-11-17,Aberdeen,"Flat 1, 9/F, Block H",HKD$4.52 Millions,"@$10,022",451ft²,LAND,https://www.28hse.com/en/estate/detail/aberdeen-centre-290/transaction/deal-1471757
2025-11-17,Western mid-levels,"Flat D, 5/F, Bon-point",HKD$14.88 Millions,"@$17,885",832ft²,LAND,https://www.28hse.com/en/estate/detail/bon-point-780/transaction/deal-1471752
2025-11-17,Stanley,"Flat 23, 5/F, Block C",HKD$4.18 Millions,"@$9,929",421ft²,LAND,https://www.28hse.com/en/estate/detail/lung-tak-court-220/transaction/deal-1471751
2025-11-17,Shaukeiwan,"Flat C, 22/F, Po Wah Building",HKD$3.18 Millions,"@$11,439",278ft²,LAND,https://www.28hse.com/en/estate/detail/po-wah-building-1197/transaction/deal-1471749
2025-11-17,Sai Ying Pun,"Flat B, 17/F, Block 2",HKD$6.15 Millions,"@$16,667",369ft²,LAND,https://www.28hse.com/en/estate/detail/elegant-garden-685/transaction/deal-1471748
2025-11-17,Quarry Bay,"Flat 39, 1/F, Yick Fat Building",HKD$1.936 Millions,"@$5,220",371ft²,LAND,https://www.28hse.com/en/estate/detail/yick-fat-building-5150/transaction/deal-1471746
